,	、
-	ー
.	。
/	・
:	ー
;	っ
~	〜
[	「
]	」
A	ぁ
BT	びと
DM	でも
DR	である
DS	です
DT	だち
E	ぇ
GR	がら
GT	ごと
HR	はら
HT	ひと
I	ぃ
KA	ヵ
KE	ヶ
KM	かも
KN	くん
KR	から
KT	こと
MN	もの
MR	まる
MS	ます
MT	また
NB	ねば
NN	ん
NR	なる
NT	にち
O	ぉ
RR	られ
SR	する
ST	した
TB	たび
TM	ため
TT	たち
TU	っ
U	ぅ
WA	ゎ
WR	われ
WT	わた
YA	ゃ
YO	ょ
YR	よる
YU	ゅ
ZR	ざる
a	あ
ba	ば
bb	っ	b
bd	べん
be	べ
bw	ぶう
bi	び
bm	ぶん
bg	びん
bl	ぼん
bn	ばん
bo	ぼ
bp	ぼう
by	ばい
bu	ぶ
bv	びゅう
bl	べい
bx	びょう
bja	びゃ
bjd	びぇん
bje	びぇ
bjw	びゅう
bji	びぃ
bjm	びゅん
bjl	びょん
bjn	びゃん
bjo	びょ
bjp	びょう
bjy	びゃい
bju	びゅ
bjl	びぇい
bjz	びゃん
bz	ばん
ca	ちゃ
cc	っ	c
cd	ちぇん
ce	ちぇ
cw	ちゅう
ci	ち
cm	ちゅん
cg	ちん
cl	ちょん
cn	ちゃん
co	ちょ
cp	ちょう
cy	ちゃい
cu	ちゅ
cl	ちぇい
cz	ちゃん
da	だ
dcw	どぅー
dci	でぃ
dcm	どぅん
dcg	でぃん
dcu	どぅ
dd	でん
de	で
dja	ぢゃ
dje	ぢぇ
djw	でゅー
dji	でぃ
djm	ぢゅん
djn	ぢゃん
djl	ぢょん
djo	ぢょ
djy	ぢゃい
dju	ぢゅ
djz	ぢゃん
dw	づう
di	ぢ
dm	づん
dg	ぢん
dl	どん
dn	だん
do	ど
dp	どう
dy	だい
du	づ
dv	ぢゅう
dl	でい
dx	ぢょう
dz	だん
e	え
fa	ふぁ
fd	ふぇん
fe	ふぇ
fw	ふう
fi	ふぃ
fm	ふん
fg	ふぃん
fl	ふぉん
fn	ふぁん
fo	ふぉ
fp	ふぉー
fy	ふぁい
fu	ふ
fv	ふゅー
fl	ふぇい
fja	ふゃ
fjw	ふゅー
fjm	ふゅん
fjo	ふょ
fju	ふゅ
fz	ふぁん
ga	が
gd	げん
ge	げ
gg	っ	g
gw	ぐう
gi	ぎ
gm	ぐん
gg	ぎん
gl	ごん
gn	がん
go	ご
gp	ごう
gy	がい
gu	ぐ
gv	ぎゅう
gl	げい
gx	ぎょう
gja	ぎゃ
gjd	ぎぇん
gje	ぎぇ
gjw	ぎゅう
gji	ぎぃ
gjm	ぎゅん
gjl	ぎょん
gjn	ぎゃん
gjo	ぎょ
gjp	ぎょう
gjy	ぎゃい
gju	ぎゅ
gjl	ぎぇい
gjz	ぎゃん
gz	がん
ha	は
hd	へん
he	へ
hja	ひゃ
hjd	ひぇん
hje	ひぇ
hjw	ひゅう
hjm	ひゅん
hjl	ひょん
hjn	ひゃん
hjo	ひょ
hjp	ひょう
hji	ひぃ
hjy	ひゃい
hju	ひゅ
hjz	ひゃん
hw	ふう
hi	ひ
hm	ふん
hg	ひん
hl	ほん
hn	はん
ho	ほ
hp	ほう
hy	はい
hu	ふ
hv	ひゅう
hl	へい
hx	ひょう
hz	はん
i	い
ja	じゃ
jd	じぇん
je	じぇ
jw	じゅう
ji	じ
jm	じゅん
jg	じん
jl	じょん
jn	じゃん
jo	じょ
jp	じょう
jy	じゃい
ju	じゅ
jl	じぇい
jz	じゃん
ka	か
kd	けん
ke	け
kja	きゃ
kje	きぇ
kjw	きゅう
kji	きぃ
kjm	きゅん
kjl	きょん
kjn	きゃん
kjo	きょ
kjp	きょう
kjy	きゃい
kju	きゅ
kjz	きゃん
kw	くう
ki	き
km	くん
kn	かん
kg	きん
kl	こん
ko	こ
kp	こう
ky	かい
ku	く
kv	きゅう
kl	けい
kx	きょう
kz	かん
la	りゃ
le	りぇ
lw	りゅう
li	りぃ
lm	りゅん
ln	りゃん
ll	りょん
lo	りょ
lp	りょう
ly	りゃい
lu	りゅ
lz	りゃん
ma	ま
md	めん
me	め
mja	みゃ
mjd	みぇん
mje	みぇ
mjw	みゅう
mji	みぃ
mje	みぇ
mjm	みゅん
mjl	みょん
mjn	みゃん
mjo	みょ
mjp	みょう
mjj	みゃい
mju	みゅ
mjl	みぇい
mjz	みゃん
mw	むう
mi	み
mm	むん
mn	まん
mg	みん
ml	もん
mo	も
mp	もう
my	まい
mu	む
mv	みゅう
ml	めい
mx	みょう
mz	まん
n'	ん
na	な
nd	ねん
ne	ね
nja	にゃ
njd	にぇん
nje	にぇ
njw	にゅう
nji	にぃ
njm	にゅん
njl	にょん
njn	にゃん
njo	にょ
njp	にょう
njj	にゃい
nju	にゅ
njl	にぇい
njz	にゃん
nw	ぬう
ni	に
nm	ぬん
ng	にん
nl	のん
nn	なん
no	の
np	のう
ny	ない
nu	ぬ
nv	にゅう
nl	ねい
nx	にょう
nz	なん
o	お
pa	ぱ
pd	ぺん
pe	ぺ
pja	ぴゃ
pje	ぴぇ
pjw	ぴゅう
pji	ぴぃ
pjm	ぴゅん
pjl	ぴょん
pjn	ぴゃん
pjo	ぴょ
pjp	ぴょう
pjj	ぴゃい
pju	ぴゅ
pjz	ぴゃん
pw	ぷう
pi	ぴ
pm	ぷん
pg	ぴん
pl	ぽん
pn	ぱん
po	ぽ
pp	ぽう
pj	ぱい
pu	ぷ
pv	ぴゅう
pl	ぺい
px	ぴょう
pz	ぱん
qa	きゃ
qw	きゅう
qm	きゅん
ql	きょん
qn	きゃん
qo	きょ
qp	きょう
qy	きゃい
qu	きゅ
qv	きゅう
qx	きょう
qz	きゃん
ra	ら
rd	れん
re	れ
rw	るう
ri	り
rm	るん
rg	りん
rl	ろん
rn	らん
ro	ろ
rp	ろう
ry	らい
ru	る
rv	りゅう
rl	れい
rx	りょう
rz	らん
sa	さ
sd	せん
se	せ
sw	すう
si	し
sm	すん
sg	しん
sl	そん
sn	さん
so	そ
sp	そう
sy	さい
ss	せい
su	す
sv	しゅう
sl	せい
sx	しょう
sz	さん
t'i	てぃ
t'u	とぅ
t'yu	てゅ
ta	た
td	てん
te	て
tw	つう
ti	ち
tm	つん
tg	ちん
tl	とん
tn	たん
to	と
tp	とう
ty	たい
tr	たら
tsa	つぁ
tsd	つぇん
tse	つぇ
tsw	つう
tsi	つぃ
tsm	つん
tsn	つぁん
tsg	つぃん
tsl	つぉん
tso	つぉ
tsy	つぁい
tst	として
tsu	つ
tsz	つぁん
tu	つ
tl	てい
tz	たん
u	う
va	ゔぁ
vd	ゔぇん
