status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl d	MoveCursorRight
Conversion	Ctrl d	SegmentFocusRight
Prediction	Ctrl Delete	DeleteSelectedCandidate
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl e	MoveCursorToBeginning
Conversion	Ctrl e	ConvertPrev
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl f	MoveCursorToEnd
Conversion	Ctrl f	SegmentFocusLast
Composition	Ctrl g	Delete
Conversion	Ctrl g	Cancel
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	MoveCursorToEnd
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl s	MoveCursorLeft
Conversion	Ctrl s	SegmentFocusLeft
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl x	MoveCursorToEnd
Conversion	Ctrl x	ConvertNext
Composition	Ctrl z	Cancel
